quest	title	category	confidence	detail
13428	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13627	Jack Me Some Lumber	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13681	A Chip Off the Ulduar Block	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13692	The Sword and the Sea	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14163	Call to Arms: Isle of Conquest	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14164	Call to Arms: Isle of Conquest	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14178	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14179	Call to Arms: Eye of the Storm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14180	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14181	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14182	Call to Arms: Eye of the Storm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14183	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
14488	You've Been Served	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24216	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24217	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24218	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24219	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24220	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24221	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24223	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24224	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24225	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24226	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24426	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24427	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
24661	REUSE ME	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
26178	Planning for the Future	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
29140	Under the Skylord's Gaze	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
29258	Meteorite Hunt	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
29271	Bound for Warmer Weather	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
29294	Animate Embers	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30153	Full Speed Ahead	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30190	Sprite Plight	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30191	Steer Clear of the Beer Here	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30192	My Town, It's on Fire	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30193	Meating Expectations	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30194	Encroaching Storm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30195	Blooming Blossoms	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30196	Lushroom Rush	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30197	Cart Ride	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30200	In Ashen Webs	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30204	That's Not a Rock!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30205	Runelocked	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30206	Runes in the Ruins	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30225	The Ashweb Matriarch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30226	Blood on the Rise	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30227	Wulon, the Granite Sentinel	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30228	Troubling the Troublemakers	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30231	Pomfruit Pickup	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30232	Ruffling Some Feathers	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30233	Cracklefang	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30234	Vicejaw	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30235	Quid Pro Quo	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30236	Aetha	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30237	The Pandaren Uprising Relived	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30238	Return to Rest	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30239	Lao-Fe the Slavebinder	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30244	Along the Serpent's Spine	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30245	Lost Scouts	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30246	Upon the Ramparts	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30247	Roll Club: Vale of Eternal Blossoms	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30248	The Butcher	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30249	Under the Setting Sun	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30250	Survival Ring: Thunder	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30251	Vyraxxis, the Krik'thik Swarm-Lord	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30263	Clearing in the Forest	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30264	Enemy at the Gates	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30265	Sparkle in the Eye	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30281	The Silent Approach	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30282	Burning Away the Filth	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30283	A Smashing Impression	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30284	A Thousand Pointy Teeth	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30285	Wu Kao Scouting Reports	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30286	Backed Into a Corner	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30287	Mogu Make Poor House Guests	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30288	My Town, It's On Fire Again	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30289	Freeing Mind and Body	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30290	Stonebound Killers	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30291	Stunning Display	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30292	Rude Awakenings	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30293	In Enemy Hands	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30294	Small Comforts	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30296	Gaohun the Soul-Severer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30297	Baolai the Immolator	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30298	Painting the Ruins Red	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30299	No Stone Unturned	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30300	The Key to Success	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30301	Offering a Warm Welcome	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30302	The Imperion Threat	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30304	Hard as a Rock	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30305	He Knows What He's Doing	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30307	The Eternal Vigil	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30308	Stone Hard Quilen	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30309	Set in Stone	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30310	Thundering Skies	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30311	High Standards	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30312	Given a Second Chance	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30313	The Moving Mists	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30314	The Displaced Paleblade	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30316	Longshot	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30320	Free Spirits	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30338	A Weighty Task	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30339	Getting your Hands Dirty	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30340	Stick in the Mud	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30341	Under Watchful Eyes	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30342	Fiery Tongue, Fragile Feet	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30385	Setting Sun Garrison	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30442	Blanche's Boomer Brew	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30444	No Reprieve	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30481	Carved in Stone	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30482	The Soul-Gatherer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30677	Shuttle Service	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
30965	Herding Cats	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31131	Whitepetal Lake	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31136	Behind Our Lines	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31218	FLAG - Unlocked Tenwu	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31219	FLAG - Unlocked Nurong	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31240	Guo-Lai Infestation	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31242	Mistfall Village	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31243	Attack on Mistfall Village	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31244	Guo-Lai Encampment	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31245	Mistfall Village	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31246	Attack on Mistfall Village	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31247	Setting Sun Garrison	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31248	The Ruins of Guo-Lai	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31249	Mistfall Village	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31250	Setting Sun Garrison	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31273	Relics of the Swarm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31289	Research Project: The Pandaren Empire	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31293	Mogu Make Poor House Guests	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31294	The Ruins of Guo-Lai	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31295	Mogu within the Ruins of Guo-Lai	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31296	The Ruins of Guo-Lai	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31297	Setting Sun Garrison	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31376	Attack At The Temple of the Jade Serpent	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31377	Attack At The Temple of the Jade Serpent	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31378	Challenge At The Temple of the Red Crane	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31379	Challenge At The Temple of the Red Crane	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31380	Trial At The Temple of the White Tiger	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31381	Trial At The Temple of the White Tiger	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31382	Defense At Niuzao Temple	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31383	Defense At Niuzao Temple	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31466	FLAG - Took Loot	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31491	The Ten Foot Pole	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31492	The Torch of Strength	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31545	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31557	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31558	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31559	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31560	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31561	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31562	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31563	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31564	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31565	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31566	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31567	The Finer Things	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31665	FLAG - Vegetron 4000 Converted	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31754	Cannonfire	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31755	Acts of Cruelty	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31756	High Chance of Rain	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31757	Unleashed Spirits	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31758	Laosy Scouting	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31759	[RESCUE GOLDEN LOTUS SQUAD] [GET RID OF THIS?]	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31760	Striking First	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31761	Breaking Their Spirits (Not Yet Implemented)	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31762	Crumbling Behemoth	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31763	[KILL GIANT SERPENT] [GET RID OF THIS?]	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31781	Lindsay	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31819	Dagra the Fierce	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31850	Eric Davidson	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31851	Bill Buckler	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31852	Steven Lisbane	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31854	Analynn	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31862	Zonya the Sadist	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31871	Traitor Gluk	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31872	Merda Stronghoof	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31888	Pet Battle Trainers: Kalimdor	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31890	Pet Battle Trainers: Kalimdor	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31904	Cassandra Kaboom	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31905	Grazzle the Great	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31906	Kela Grimtotem	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31907	Zoltan	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31908	Elena Flutterfly	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31910	David Kosse	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31911	Deiza Plaguehorn	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31912	Kortas Darkhammer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31913	Everessa	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31914	Durin Darkhammer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31916	Grand Master Lydia Accoste	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31922	Nicki Tinytech	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31923	Ras'an	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31924	Narrok	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31925	Morulu The Elder	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31926	Grand Master Antari	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31931	Beegle Blastfuse	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31932	Nearly Headless Jacob	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31933	Okrut Dragonwaste	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31934	Gutretch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31935	Grand Master Payne	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31954	Grand Master Mo'ruk	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31971	Grand Master Obalis	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31972	Brok	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31973	Bordin Steadyfist	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
31974	Goz Banefury	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32107	Flying Tiger Gourami	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32116	Priorities, People!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32123	Death on Two Legs	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32129	Defense Daily 06	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32130	Good Luck, Have Fun	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32131	We Require More Minerals!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32132	Worker Harassment	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32133	Sentry Wards	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32134	Hard Counter	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32135	Hero Killer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32142	We Will Rock You	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32143	A Kind of Magic	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32144	Under Pressure	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32146	Hammer to Fall	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32147	Attack Daily 06	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32148	Attack! Move!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32149	Resource Gathering	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32150	Supply Block	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32151	Tower Defense	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32152	Siege Damage	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32153	Hero Killer	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32154	Burn Out!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32155	Necessary Breaks	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32156	It's Only Right	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32157	The Only Good Goblin...	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32158	Two Step Program	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32159	Circle of Life	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32173	Build Portal 01	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32174	Build Portal 01	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32181	Beastmaster's Quarry: The Crane	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32182	Beastmaster's Quarry: The Tiger	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32183	Beastmaster's Quarry: The Crab	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32184	Beastmaster's Quarry: The Crane	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32185	Beastmaster's Quarry: The Tiger	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32186	Beastmaster's Quarry: The Crab	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32205	Gather Scout Reports	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32210	Kill mogu boss for key, use object behind jumping puzzle	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32214	Bilgewater Infiltrators	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32221	Storming the Beach	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32229	Kill Roaming Troll War Party	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32275	Surgical Death	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32286	Kill Mogu Blood-seekers (Roaming pairs, actively fighting scouts, and performing rituals on corpses)	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32294	Raining Bones	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32306	Lumber Collection Tracking	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32433	Undermining the Under Miner	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32440	Whispering Pandaren Spirit	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32446	Dis-Assembly Required	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32492	Destroy Cauldrons	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32521	Encroaching Force	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32522	Imposing Threat	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32523	The Beast Pens	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32524	The Beating of Troll Drums	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32561	Competing Magic	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32563	Encroaching Force	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32564	Zandalari on the Rise	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32565	Encroaching Force	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32567	The Beast Pens	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
32568	No Time To Rest	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
