guid	events	entry	map	x	y	z	terrain_z	vmap_below	vmap_above	vmap_status	name	terrain_gap	flight	VehicleId	phaseMask	phaseId	phaseGroup	spawnMask	spawn_npcflag	spawn_unit_flags
206321		40227	0	-5859.45996	4678.91992	-512.794983	-500	-200000	-200000	1	Felice	12.795	0	0	1	0	0	1	0	0
124543	22	15529	1	1573.79004	-4134.83984	35.9948997	48.2077599	-200000	-200000	1	Lady Callow	12.213	0	0	65535	0	0	1	0	0
124533	22	15459	1	1658.66003	-4114.2002	33.5311012	45.1915703	-200000	48.2955933	1	Miner Cromwell	11.66	0	0	65535	0	0	1	0	0
124538	22	15512	1	1594.69995	-4179.31006	40.2127991	51.6583633	-200000	-200000	1	Apothecary Jezel	11.446	0	0	65535	0	0	1	0	0
124539	22	15515	1	1592.97998	-4189.93994	41.4424019	52.7192612	-200000	52.9371986	1	Skinner Jamani	11.277	0	0	65535	0	0	1	0	0
124540	22	15522	1	1594.60999	-4202.43994	42.7677002	53.7564049	-200000	-200000	1	Sergeant Umala	10.989	0	0	65535	0	0	1	0	0
124534	22	15460	1	1665.18994	-4111.56006	34.6153984	45.4679413	-200000	49.0570946	1	Grunt Maug	10.853	0	0	65535	0	0	1	0	0
124536	22	15477	1	1637.57996	-4090.68994	35.6007004	46.3203888	-200000	-200000	1	Herbalist Proudfeather	10.72	0	0	65535	0	0	1	0	0
580270		67447	870	-2070.95996	2353.88989	-4.46582985	6.02833128	-200000	-200000	1	Jorn Skyseer	10.494	0	0	4	0	0	1	0	0
124535	22	15469	1	1671.84998	-4108.20996	35.7999001	46.2560234	-200000	49.8597488	1	Senior Sergeant T'kelah	10.456	0	0	65535	0	0	1	0	0
568370		70567	1064	7174.72998	6312.91016	2.73203993	12.9122591	-200000	13.8485088	1	Assignment Map	10.18	0	0	1	0	0	1	0	0
124541	22	15525	1	1596.09998	-4210.3501	43.6607018	53.8367577	-200000	-200000	1	Doctor Serratus	10.176	0	0	65535	0	0	1	0	0
126810	22	15738	1	1639.18994	-4079.05005	38.0982018	47.4715004	-200000	-200000	1	Undercity Commendation Officer	9.373	0	0	65535	0	0	1	0	0
124542	22	15528	1	1579.94995	-4126.93994	34.7625008	43.9916534	-200000	-200000	1	Healer Longrunner	9.229	0	0	65535	0	0	1	0	0
123864	5	14843	1	1539.31006	-4429.62988	11.9706001	20.1363506	-200000	-200000	1	Kruban Darkblade	8.166	0	0	65535	0	0	1	0	0
108999	48	41209	1	1584.70996	-4427.77002	7.24083996	14.5132399	-200000	-200000	1	Earthen Ring Emissary	7.272	0	0	65535	0	0	1	0	0
195972		43575	0	-3989.40991	-6570.02002	8.93212032	16.1881294	-200000	-200000	1	Dragonmaw Enforcer	7.256	0	0	1	0	0	1	0	0
292884		47202	1	-10768.5996	-468.958008	58.0668983	65.0929871	-200000	-200000	1	Diseased Vulture	7.026	0	0	1	0	0	1	0	0
124547	22	15535	1	1661.78003	-4085.66992	38.8414001	45.5582161	-200000	-200000	1	Chief Sharpclaw	6.717	0	0	65535	0	0	1	0	0
104403	48	39283	1	1585.68005	-4419.16992	8.64548016	15.1344423	-200000	-200000	1	Earthmender Norsala	6.489	0	0	65535	0	0	1	0	0
123540	17	16361	0	2295.87988	-5306.20996	81.9969025	88.0805359	-200000	-200000	1	Commander Thomas Helleran	6.084	0	0	65535	0	0	1	0	0
52976	14	15116	1	1590.70996	-4429.33008	8.42397976	14.3204403	-200000	-200000	1	Grinkle	5.896	0	0	65535	0	0	1	0	0
195946		43575	0	-3973.47998	-6561.25	10.7341995	16.2256622	-200000	24.5979462	1	Dragonmaw Enforcer	5.491	0	0	1	0	0	1	0	0
195943		43577	0	-3973.1001	-6557.60986	10.8809004	16.2256622	-200000	23.1860619	1	Dragonmaw Worker	5.345	0	0	1	0	0	1	0	0
195048		43390	0	-3977.21997	-6553.66016	11.0893002	16.2256603	-200000	-200000	1	Dragonmaw Enforcer	5.136	0	0	1	0	0	1	0	0
104408	48	39508	0	-8508.19043	410.136993	108.386002	113.269981	-200000	114.97776	1	Captain Anton	4.884	0	0	65535	0	0	1	0	0
68159		16221	530	9363.16016	-7314.12988	2.61648989	7.17730856	-200000	-200000	1	Silvermoon Guardian	4.561	0	0	1	0	0	1	0	0
195273		43390	0	-4007.72998	-6555.68994	11.8715	16.2585583	-200000	18.2586784	1	Dragonmaw Enforcer	4.387	0	0	1	0	0	1	0	0
195112		43386	0	-3963.78003	-6546.24023	13.0031004	16.359972	-200000	-200000	1	Dragonmaw Merchant	3.357	0	0	1	0	0	1	0	0
302036		52493	861	983.299011	367.307007	38.2130013	41.3156052	-21.920414	-21.920414	1	Captain Saynna Stormrunner	3.103	0	0	1	0	0	1	0	0
74566		16221	530	9326.29004	-7286.83008	11.316	13.9635935	-200000	-200000	1	Silvermoon Guardian	2.648	0	0	1	0	0	1	0	0
293353		53080	861	987.643982	375.64801	38.6421013	41.2795067	-14.1407166	-14.1407051	1	Captain Irontree	2.637	0	0	1	0	0	1	0	0
302032		53196	861	986.411011	377.05899	38.4832993	41.1159172	-66.5008698	-66.5008621	1	Ricket	2.633	0	0	1	0	0	1	0	0
302031		53214	861	987.758972	375.234009	38.7086983	41.3001289	-15.7557106	-15.7557106	1	Damek Bloombeard	2.591	0	0	1	0	0	1	0	0
243034		36472	1	2583.40991	-5905.83008	93.7382965	96.2616653	-200000	-200000	1	Buzzer	2.523	0	0	1	0	0	1	0	0
86634	17	16493	1	1510.51001	-4405.5498	20.0228004	22.5223351	9.61605167	9.61605263	1	Lieutenant Dagel	2.5	0	0	65535	0	0	1	0	0
127331	25	3296	1	1379.81006	-4346.75977	26.1886997	28.6163712	-200000	27.7112312	1	Orgrimmar Grunt	2.428	0	0	65535	0	0	1	0	0
40255	12	15309	1	2064.44995	-4672	25.4640007	27.7679539	-200000	32.5498962	1	Spoops	2.304	0	0	65535	0	0	1	0	0
141972	48	40220	1	6443.25	484.485992	7.79169989	9.94754696	-200000	-200000	1	Mysterious Device	2.156	0	0	65535	0	0	1	0	0
195111		43386	0	-3953.8501	-6541.79004	13.9617004	16.0410404	-200000	-200000	1	Dragonmaw Merchant	2.079	0	0	1	0	0	1	0	0
293344		52135	861	976.862976	373.973999	38.1054001	39.9268494	-57.3323212	-57.3323135	1	Malfurion Stormrage	1.821	0	0	1	0	0	1	0	0
127332	25	3296	1	1369.43994	-4346.68018	26.8234997	28.6163712	-200000	-200000	1	Orgrimmar Grunt	1.793	0	0	65535	0	0	1	0	0
195949		43575	0	-3991.65991	-6576.77979	7.37950993	9.08305264	-2.9089222	17.2963047	1	Dragonmaw Enforcer	1.704	0	0	1	0	0	1	0	0
232918		36600	648	917.877014	2336.15991	3.34671998	5.03582764	-200000	-200000	1	Geargrinder Gizmo	1.689	0	0	10240	0	0	1	0	0
232716		38120	648	918.205017	2336.29004	3.38649988	5.03558254	-200000	-200000	1	Hobart Grapplehammer	1.649	0	0	2048	0	0	1	0	0
375744		38120	648	918.205017	2336.29004	3.38649988	5.03558254	-200000	-200000	1	Hobart Grapplehammer	1.649	0	0	4096	0	0	1	0	0
196067		43578	0	-4004.63989	-6539.16016	13.4152002	14.5690222	-200000	-200000	1	Dragonmaw Merchant	1.154	0	0	1	0	0	1	0	0
196072		43577	0	-4004.65991	-6538.93994	13.4152002	14.5574522	-200000	-200000	1	Dragonmaw Worker	1.142	0	0	1	0	0	1	0	0
195975		43578	0	-4002.32007	-6538.83984	13.3829002	14.5216408	-200000	-200000	1	Dragonmaw Merchant	1.139	0	0	1	0	0	1	0	0
195958		43575	0	-3999.83008	-6538.0498	13.3591995	14.4556618	-200000	-200000	1	Dragonmaw Enforcer	1.096	0	0	1	0	0	1	0	0
